dean,university,priorTitle,priorInstitution,action
Ellen D. Bailey,Stockton University,"Partner, Commercial Litigation and Product Liability Practice Groups","Eckert Seamans Cherin & Mellott, LLC",flag+evidence
Tim Warren,Tennessee State University,Vice President of Central Technology Services,Ellucian,flag+evidence
Lin Zhou,The New School,"Program Director, IBM Watson Education",IBM,flag+evidence
Armand Paliotta,University of Oklahoma Health Sciences Center,Partner,Hartzog Conger Cason LLP,flag+evidence
Scott Pohlson,University of South Dakota,Executive Consultant,"Noel-Levitz, Inc.",flag+evidence
Scott Pohlson,University of South Dakota,Executive Consultant,"Noel-Levitz, Inc.",flag+evidence
Abigail Crouse,University of St. Thomas (Minnesota),"Shareholder, Co-Chair of Higher Education Practice",Gray Plant Mooty,flag+evidence
Sharolyn Whiting-Ralston,University of Tulsa,"General Counsel, VP of HR, and Corporate Secretary",Samson Resources,flag+evidence
Ken Harmon,Wichita State University,IT leadership role,Koch Industries Inc.,flag+evidence
Ben Sidbury,Wingate University,Partner,Bryan Cave Leighton Paisner LLP,flag+evidence
James Vasquez,Yeshiva University,"CIO, Leadership Services Group",Ellucian,flag+evidence
Marti Fessenden,Agnes Scott College,"Attorney, The Fessenden Firm / Higher Ed Advise",The Fessenden Firm / Higher Ed Advise,flag+evidence
Bob Wisler,Aquinas College,,Ellucian,flag+evidence
Kirk Anderson,Augustana College,Finance/Accounting Executive,Kraft Heinz,flag+evidence
Mindy Zumdome,Augustana College,Vice President for Talent and Culture,Elliott Aviation,flag+evidence
Irene Karedis Borys,Augustana College,Vice President of Client Experience and Integrator,The Childress Agency,flag+evidence
Zena Weist,Ave Maria University,Director of Digital Marketing,CommunityAmerica Credit Union,flag+evidence
Tim Leslie,Beloit College,CEO,Leafly,flag+evidence
Tim Leslie,Beloit College,CEO,Leafly,flag+evidence
Tim Leslie,Beloit College,CEO,Leafly,flag+evidence
Tim Leslie,Beloit College,CEO,Leafly,flag+evidence
Tim Leslie,Beloit College,CEO,Leafly,flag+evidence
Phanalphie Rhue,Bennett College,,The Beale Agency,flag+evidence
Judge B. Wilson,Berea College,Counsel,"Wyatt, Tarrant & Combs",flag+evidence
Kayla Flanders,Central College,Vice President of Finance,Pella Corporation,flag+evidence
Julie K. Wood,Colby College,Chief People Officer,Crowe LLP,flag+evidence
Richard Y. Uchida,Colby College,Partner,"Hinckley, Allen & Snyder",flag+evidence
Sarah M. Phillips,Davidson College,Associate Attorney,"Brooks, Pierce, McLendon, Humphrey & Leonard LLP",flag+evidence
Vincent Champion,Dickinson College,Owner/Lead Attorney,"Champion Law Office, LLC",flag+evidence
Bruce Baden,Guilford College,Vice President of Finance,LF Distribution Holding,flag+evidence
Alfred L. Damiano,Hobart William Smith Colleges,Director of Technology Programs and Support Services,Xerox Global Services,flag+evidence
Robin Zondervan,Hope College,"Vice President, Investor Relations, Financial Planning & Analysis and Group Finance",Masco Corporation,flag+evidence
Dale Wright,Houghton University,Human Resources Manager,Smith Meter Inc. (a division of FMC Corp.),flag+evidence
Kent Siltman,Illinois College,Chief Financial Officer,Bound to Stay Bound Books,flag+evidence
Nathalie Houder,Keene State College,Chief Financial Officer,Auto Europe Group,flag+evidence
Nathalie Houder,Keene State College,Chief Financial Officer,Auto Europe Group,flag+evidence
Jacqueline (Jackie) Holmes,Kenyon College,Partner,Jones Day,flag+evidence
Eric Schacht,Lawrence University,General Counsel,Wolfram Companies,flag+evidence
Ashly Tilden-Browning,Linfield University,Human Resources Business Partner,The Springs Living,flag+evidence
Caitlin Goss,Middlebury College,Director of People and Culture,Rhino Foods,flag+evidence
Scott McNamee,Millsaps College,Systems Administrator,USA Mobility,flag+evidence
Stacey Gaines,Millsaps College,Director of Marketing and Communication,HORNE LLP,flag+evidence
Michael E. Johnson,Morehouse College,,LogistiCare / Scientific Atlanta / ExxonMobil,flag+evidence
David Brickhouse,New College of Florida,Chief Operating Officer & General Counsel,Avolve Sports,flag+evidence
Josh Nolan,Oberlin College,"Partner, Co-Chair of Higher Education Practice Group",Bricker Graydon LLP,flag+evidence
Bryan T. McKinney,Ouachita Baptist University,Private practice attorney,"McMillan, Turner and McCorkle",flag+evidence
Luyan Li,Saint Norbert College,Vice President of Finance,Sebela Pharmaceuticals Inc.,flag+evidence
"Brent W. Thompson, Esq.",Simpson University,"Attorney, Environmental and Regulatory Law","Private practice, Sacramento, CA",flag+evidence
"Brent W. Thompson, Esq.",Simpson University,"Attorney, Environmental and Regulatory Law","Private practice, Sacramento, CA",flag+evidence
"Brent W. Thompson, Esq.",Simpson University,"Attorney, Environmental and Regulatory Law","Private practice, Sacramento, CA",flag+evidence
"Brent W. Thompson, Esq.",Simpson University,"Attorney, Environmental and Regulatory Law","Private practice, Sacramento, CA",flag+evidence
Carl Crosby Lehmann,St Olaf College,Attorney,Gray Plant Mooty,flag+evidence
Carl Crosby Lehmann,St Olaf College,Attorney,Gray Plant Mooty,flag+evidence
Julie L. Buehler,State University of New York at Geneseo,Executive Consultant,"Mitrano and Associates, LLC",flag+evidence
Alexa Konstantinos,The College of Wooster,Vice President of Marketing,CoverMyMeds,flag+evidence
John Cozzolino,Union College,Chief Financial Officer and Treasurer,Albany International Corp.,flag+evidence
Jamie Art,Williams College,Partner,Grinnell Partners LLP,flag+evidence
